engine,model,sample_id,audio_path,transcript,elapsed_seconds,real_time_factor,info,rtf,reference,wer,cer
apple_dictation,nl-NL,nl-0000,.cache/datasets/nl/audio/nl-0000.mp3,Bij de schietkraam hadden ze een grote teddybeer gewonnen,0.7008500099182129,,"{'model': 'nl-NL', 'language': 'nl', 'locale': 'nl-NL'}",,Bij de schietkraam hadden ze een grote teddybeer gewonnen.,0.1111111111111111,0.017241379310344827
mlx_whisper,mlx-community/whisper-large-v3-turbo,nl-0000,.cache/datasets/nl/audio/nl-0000.mp3,Bij de schietkraam hadden ze een grote teddybeer gewonnen.,2.687213182449341,,"{'model': 'mlx-community/whisper-large-v3-turbo', 'language': 'nl'}",,Bij de schietkraam hadden ze een grote teddybeer gewonnen.,0.0,0.0
apple_dictation,nl-NL,nl-0001,.cache/datasets/nl/audio/nl-0001.mp3,Nu weten dat ik in vraagrecht als een instrumenteel parlementair recht schaam,0.5544912815093994,,"{'model': 'nl-NL', 'language': 'nl', 'locale': 'nl-NL'}",,U weet dat ik het vragenrecht als een fundamenteel parlementair recht beschouw.,0.5,0.27848101265822783
mlx_whisper,mlx-community/whisper-large-v3-turbo,nl-0001,.cache/datasets/nl/audio/nl-0001.mp3,U weet dat ik het vragenrechten als een fundamenteel parlementair recht beschouw.,0.5313200950622559,,"{'model': 'mlx-community/whisper-large-v3-turbo', 'language': 'nl'}",,U weet dat ik het vragenrecht als een fundamenteel parlementair recht beschouw.,0.08333333333333333,0.02531645569620253
apple_dictation,nl-NL,nl-0002,.cache/datasets/nl/audio/nl-0002.mp3,Ik heb er geen enkel bezwaar tegen dat wij ons daarover samen blijven bezinnen,0.39006686210632324,,"{'model': 'nl-NL', 'language': 'nl', 'locale': 'nl-NL'}",,Ik heb er geen enkel bezwaar tegen dat wij ons daarover samen blijven bezinnen.,0.07142857142857142,0.012658227848101266
mlx_whisper,mlx-community/whisper-large-v3-turbo,nl-0002,.cache/datasets/nl/audio/nl-0002.mp3,Ik heb er geen enkel bezwaar tegen dat wij ons daarover samen blijven bezinnen.,0.5601902008056641,,"{'model': 'mlx-community/whisper-large-v3-turbo', 'language': 'nl'}",,Ik heb er geen enkel bezwaar tegen dat wij ons daarover samen blijven bezinnen.,0.0,0.0
apple_dictation,nl-NL,nl-0003,.cache/datasets/nl/audio/nl-0003.mp3,Het was mooi om te zien dat ze elkaar na al die jaren nog even graag zagen,0.35474395751953125,,"{'model': 'nl-NL', 'language': 'nl', 'locale': 'nl-NL'}",,Het was mooi om te zien dat ze elkaar na al die jaren nog even graag zagen.,0.058823529411764705,0.013333333333333334
mlx_whisper,mlx-community/whisper-large-v3-turbo,nl-0003,.cache/datasets/nl/audio/nl-0003.mp3,Het was mooi om te zien dat ze elkaar na al die jaren nog even graag zagen.,0.5649557113647461,,"{'model': 'mlx-community/whisper-large-v3-turbo', 'language': 'nl'}",,Het was mooi om te zien dat ze elkaar na al die jaren nog even graag zagen.,0.0,0.0
apple_dictation,nl-NL,nl-0004,.cache/datasets/nl/audio/nl-0004.mp3,Het gemeentehuis kan je vinden op de markt,0.36582303047180176,,"{'model': 'nl-NL', 'language': 'nl', 'locale': 'nl-NL'}",,Het gemeentehuis kan je vinden op de markt.,0.125,0.023255813953488372
mlx_whisper,mlx-community/whisper-large-v3-turbo,nl-0004,.cache/datasets/nl/audio/nl-0004.mp3,Het gemeentehuis kan je vinden op de markt.,0.5634119510650635,,"{'model': 'mlx-community/whisper-large-v3-turbo', 'language': 'nl'}",,Het gemeentehuis kan je vinden op de markt.,0.0,0.0
